n	i	Nsites	phi
79	31	1	0.0530913978494624
96	40	1	0.0428571428571429
96	37	1	0.0439761795693999
96	16	1	0.075
96	17	1	0.071481757259866
96	41	1	0.0425720620842572
126	45	1	0.0345679012345679
126	19	1	0.0619773733398918
47	11	110	0.118686868686869
47	21	102	0.0860805860805861
47	7	125	0.167857142857143
47	17	98	0.092156862745098
47	22	91	0.0854545454545454
47	18	80	0.0900383141762452
47	23	94	0.0851449275362319
47	13	101	0.106334841628959
47	16	110	0.094758064516129
47	6	116	0.191056910569106
47	9	87	0.137426900584795
47	12	104	0.111904761904762
47	20	94	0.087037037037037
47	15	89	0.0979166666666667
47	14	77	0.101731601731602
47	8	91	0.150641025641026
47	10	92	0.127027027027027
47	19	94	0.0883458646616541
47	5	130	0.223809523809524
98	35	1	0.0444444444444444
98	28	1	0.05
98	21	1	0.0606060606060606
98	13	1	0.0886877828054299
98	44	1	0.0412457912457912
98	20	1	0.0628205128205128
37	11	427	0.129370629370629
37	7	410	0.176190476190476
37	17	442	0.108823529411765
37	18	461	0.108187134502924
37	16	447	0.110119047619048
37	13	392	0.118589743589744
37	6	407	0.198924731182796
37	9	434	0.146825396825397
37	12	399	0.123333333333333
37	14	387	0.114906832298137
37	15	444	0.112121212121212
37	8	404	0.15948275862069
37	4	622	0.28030303030303
37	10	377	0.137037037037037
37	5	520	0.23125
117	41	1	0.0375481386392811
43	11	166	0.122159090909091
43	21	171	0.0930735930735931
43	7	191	0.170634920634921
43	17	184	0.0972850678733032
43	18	157	0.0955555555555556
43	16	175	0.099537037037037
43	13	157	0.11025641025641
43	6	220	0.193693693693694
43	9	140	0.140522875816993
43	12	170	0.115591397849462
43	15	164	0.102380952380952
43	14	174	0.105911330049261
43	20	160	0.0934782608695652
43	8	167	0.153571428571429
43	19	147	0.0942982456140351
43	10	170	0.13030303030303
43	5	221	0.226315789473684
33	11	662	0.136363636363636
33	7	593	0.181318681318681
33	16	612	0.121323529411765
33	13	625	0.126923076923077
33	6	634	0.203703703703704
33	9	626	0.152777777777778
33	12	623	0.130952380952381
33	14	633	0.12406015037594
33	15	642	0.122222222222222
33	8	646	0.165
33	4	844	0.28448275862069
33	10	610	0.143478260869565
33	5	710	0.235714285714286
63	11	11	0.11013986013986
63	21	18	0.0714285714285714
63	7	12	0.160714285714286
63	26	7	0.0654885654885655
63	17	12	0.0805626598465473
63	22	16	0.0698447893569845
63	18	5	0.0777777777777778
63	30	10	0.0636363636363636
